PrimaryObjective,Epsilon1Name,Epsilon1Value,Epsilon2Name,Epsilon2Value,Status,ReconfCost,Violations,LogisticsLeveling,SolveTimeSec,ProductSequenceFirst10
model1,model2,inf,model3,inf,Success,13,24,78.736842,1.32,"3,3,3,1,1,1,1,0,0,0"
model1,model2,inf,model3,0,Failed: integer infeasible,,,,0.09,
model1,model2,inf,model3,20,Failed: integer infeasible,,,,1.05,
model1,model2,inf,model3,40,Success,19,18,39.964912,0.61,"2,2,1,1,0,0,0,3,3,3"
model1,model2,inf,model3,60,Success,16,22,59.719298,0.42,"2,2,2,3,3,3,0,0,0,0"
model1,model2,inf,model3,80,Success,13,24,65.871345,0.65,"2,2,2,3,3,3,1,1,1,1"
model1,model2,inf,model3,100,Success,13,24,65.871345,0.44,"2,2,2,3,3,3,1,1,1,1"
model1,model2,0,model3,inf,Failed: integer infeasible,,,,0.07,
model1,model2,0,model3,0,Failed: integer infeasible,,,,0.08,
model1,model2,0,model3,20,Failed: integer infeasible,,,,0.12,
model1,model2,0,model3,40,Failed: integer infeasible,,,,0.13,
model1,model2,0,model3,60,Failed: integer infeasible,,,,0.17,
model1,model2,0,model3,80,Failed: integer infeasible,,,,0.12,
model1,model2,0,model3,100,Failed: integer infeasible,,,,0.12,
model1,model2,20,model3,inf,Success,17,19,74.77193,2.12,"1,1,1,1,0,0,0,0,3,3"
model1,model2,20,model3,0,Failed: integer infeasible,,,,0.09,
model1,model2,20,model3,20,Failed: integer infeasible,,,,1.29,
model1,model2,20,model3,40,Success,19,18,39.964912,1.8,"2,2,1,1,0,0,0,3,3,3"
model1,model2,20,model3,60,Success,17,18,53.146199,0.56,"2,2,2,1,1,0,0,0,0,0"
model1,model2,20,model3,80,Success,17,18,53.146199,0.67,"2,2,2,1,1,0,0,0,0,0"
model1,model2,20,model3,100,Success,17,18,53.146199,0.5,"2,2,2,1,1,0,0,0,0,0"
model1,model2,40,model3,inf,Success,13,24,64.228571,1.42,"0,0,0,0,2,2,2,2,3,3"
model1,model2,40,model3,0,Failed: integer infeasible,,,,0.09,
model1,model2,40,model3,20,Failed: integer infeasible,,,,1.37,
model1,model2,40,model3,40,Success,19,18,39.964912,1.74,"2,2,1,1,0,0,0,3,3,3"
model1,model2,40,model3,60,Success,16,22,59.719298,0.58,"2,2,2,3,3,3,0,0,0,0"
model1,model2,40,model3,80,Success,13,24,65.871345,0.57,"2,2,2,3,3,3,1,1,1,1"
model1,model2,40,model3,100,Success,13,24,65.871345,0.55,"2,2,2,3,3,3,1,1,1,1"
model1,model2,60,model3,inf,Success,13,24,64.228571,1.42,"0,0,0,0,2,2,2,2,3,3"
model1,model2,60,model3,0,Failed: integer infeasible,,,,0.09,
model1,model2,60,model3,20,Failed: integer infeasible,,,,1.34,
model1,model2,60,model3,40,Success,19,18,39.964912,1.58,"2,2,1,1,0,0,0,3,3,3"
model1,model2,60,model3,60,Success,16,22,59.719298,0.84,"2,2,2,3,3,3,0,0,0,0"
model1,model2,60,model3,80,Success,13,24,65.871345,0.48,"2,2,2,3,3,3,1,1,1,1"
model1,model2,60,model3,100,Success,13,24,65.871345,0.55,"2,2,2,3,3,3,1,1,1,1"
model1,model2,80,model3,inf,Success,13,24,78.736842,1.43,"3,3,3,1,1,1,1,0,0,0"
model1,model2,80,model3,0,Failed: integer infeasible,,,,0.09,
model1,model2,80,model3,20,Failed: integer infeasible,,,,1.1,
model1,model2,80,model3,40,Success,19,18,39.964912,1.65,"2,2,1,1,0,0,0,3,3,3"
