ProductSequence;ReconfCost;Violations;LogisticsLeveling
2,2,1,1,0,0,0,3,3,3,1,1,0,0,2,2;19.000000;18.000000;39.964912
2,2,2,1,1,0,0,0,0,0,3,3,3,1,1,2;17.000000;18.000000;53.146199
0,0,0,0,2,2,2,2,3,3,3,1,1,1,1,0;13.000000;24.000000;64.228571
2,2,2,3,3,3,1,1,0,0,0,0,0,1,1,2;16.000000;21.000000;59.695906
1,0,3,1,0,0,3,2,2,1,0,3,2,2,1,0;48.000000;7.000000;29.668571
3,0,1,2,2,1,3,0,0,1,3,0,0,1,2,2;44.000000;7.000000;31.871345
2,3,0,1,2,2,1,0,3,0,1,0,3,0,1,2;46.000000;7.000000;31.625731
3,3,0,0,1,1,2,2,2,2,1,1,0,0,0,3;20.000000;16.000000;43.657143
0,0,3,3,1,0,0,1,2,2,3,0,1,2,2,1;36.000000;7.000000;47.040000
2,3,0,0,1,3,3,0,0,1,2,2,1,0,1,2;38.000000;7.000000;40.350877
0,1,3,2,0,1,2,0,3,2,1,0,3,1,0,2;67.000000;12.000000;22.514620
2,3,1,0,0,1,0,2,2,3,1,0,3,1,0,2;40.000000;10.000000;25.801170
0,1,2,3,0,1,2,0,3,1,2,0,3,1,0,2;60.000000;13.000000;22.608187
