Instance,TotalCombinations,ValidSolutions,OptimalSolutions,ParetoSolutions,TotalRuntimeSec
instance_001.txt,147,40,40,3,19.71
instance_011.txt,147,37,37,16,201.17
instance_020.txt,147,24,13,19,3744.45
instance_021.txt,147,36,36,4,23.39
instance_031.txt,147,16,16,6,82.35
instance_040.txt,147,10,10,6,592.88
instance_041.txt,147,48,48,4,29.63
instance_051.txt,147,21,21,7,124.01
instance_060.txt,147,8,3,7,2856.47
instance_061.txt,147,49,49,5,37.75
instance_071.txt,147,10,10,5,448.60
instance_080.txt,147,10,4,9,2640.03
instance_081.txt,147,46,46,2,35.03
instance_091.txt,147,9,9,4,953.75
instance_100.txt,147,12,6,4,2023.58
instance_101.txt,147,52,52,7,55.77
instance_111.txt,147,10,10,6,1557.36
instance_120.txt,147,8,5,5,7888.91
